id,bedrooms,bathrooms,sqft_living,sqft_lot,grade,yr_built,lat,long,price
1,3,1,1180,5650,7,1955,47.5112,-122257,221900
2,3,2.25,2570,7242,7,1951,47721,-122319,538000
3,2,1,770,10000,6,1933,47.7379,-122233,180000
4,4,3,1960,5000,7,1965,47.5208,-122393,604000
5,3,2,1680,8080,8,1987,47.6168,-122045,510000
6,4,4.5,5420,101930,11,2001,47.6561,-122005,1225000000
7,3,2.25,1715,6819,7,1995,47.3097,-122327,257500
8,3,1.5,1060,9711,7,1963,47.4095,-122315,291850
9,3,1,1780,7470,7,1960,47.5123,-122337,229500
10,3,2.5,1890,6560,7,2003,47.3684,-122031,323000
11,3,2.5,3560,9796,8,1965,47.6007,-122145,662500
12,2,1,1160,6000,7,1942,47.69,-122292,468000
13,3,1,1430,19901,7,1927,47.7558,-122229,310000
14,3,1.75,1370,9680,7,1977,47.6127,-122045,400000
15,5,2,1810,4850,7,1900,47.67,-122394,530000
16,4,3,2950,5000,9,1979,47.5714,-122375,650000
17,3,2,1890,14040,7,1994,47.7277,-121962,395000
18,4,1,1600,4300,7,1916,47.6648,-122343,485000
19,2,1,1200,9850,7,1921,47.3089,-122.21,189000
20,3,1,1250,9774,7,1969,47.3343,-122306,230000
21,4,1.75,1620,4980,7,1947,47.7025,-122341,385000
22,3,2.75,3050,44867,9,1968,47.5316,-122233,2000000
23,5,2.5,2270,6300,8,1995,47.3266,-122169,285000
24,2,1.5,1070,9643,7,1985,47.3533,-122166,252700
25,3,2.25,2450,6500,8,1985,47.3739,-122172,329000
26,3,2,1710,4697,6,1941,47.3048,-122218,233000
27,3,1.75,2450,2691,8,1915,47.6386,-122.36,937000
28,3,1,1400,1581,8,1909,47.6221,-122314,667000
29,3,1.75,1520,6380,7,1948,47695,-122304,438000
30,4,2.5,2570,7173,8,2005,47.7073,-122.11,719000
31,3,2.5,2320,3980,8,2003,47.5391,-122.07,580500
32,2,1.5,1190,1265,7,2005,47.7274,-122357,280000
33,4,1.75,2330,5000,7,1929,47.6823,-122368,687500
34,3,1,1090,3000,8,1929,47.6889,-122375,535000
35,4,2.75,2060,6659,7,1981,47.4276,-122157,322500
36,3,2.5,2300,3060,8,1930,47.6827,-122.31,696000
37,4,1,1660,34848,5,1933,47.6621,-122132,550000
38,4,2,2360,6000,8,1904,47.6702,-122362,640000
39,4,1,1220,8075,7,1969,47.3341,-122282,240000
40,4,2.5,2620,7553,8,1996,47.5301,-122.18,605000
41,4,2.5,2570,5520,9,2000,47.6145,-122027,625000
42,4,2.25,4220,24186,8,1984,47445,-122347,775000
43,5,2.75,3595,5639,9,2014,47.6848,-122016,861990
44,3,1,1570,2280,7,1922,47.6413,-122364,685000
45,3,1,1280,9656,6,1959,47.4485,-122175,309000
46,3,2.5,3160,13603,8,2003,47.7443,-121977,488000
47,3,1,990,8528,6,1966,47.3066,-122371,210490
48,4,2.5,2290,13416,9,1981,47.6194,-122151,785000
49,3,1.75,1250,5963,7,1953,47.6796,-122301,450000
50,3,2.5,2753,65005,9,1953,47.4041,-122451,1.35e+006
51,3,1,1190,9199,7,1955,47.4258,-122322,228000
52,5,2.5,3150,9134,8,1966,47.4934,-122189,345000
53,3,1.75,1410,4080,7,1950,47.6808,-122384,600000
54,2,1.75,1980,8550,7,1981,47.6989,-122369,585000
55,5,2.25,2730,6000,8,1927,47.6571,-122281,920000
56,4,2.5,2830,5000,9,1995,47.6597,-122.29,885000
57,4,2.5,2250,4495,7,2008,47.3663,-122114,292500
58,3,2.5,2420,4750,8,2003,47.3663,-122122,301000
59,5,3.25,3250,14342,8,1968,47588,-122116,951000
60,4,3,1850,9976,8,1991,47.5059,-122149,430000
61,3,2.25,2150,21235,8,1959,47.4336,-122339,650000
62,3,1.75,1260,8400,7,1954,47.4366,-122335,289000
63,3,1.75,2519,8690,8,1973,47.4428,-122344,505000
64,3,1.75,1540,1044,8,2014,47.6765,-122.32,549000
65,3,2.25,1660,6000,7,1979,47.6113,-122297,425000
66,3,2.75,2770,3809,7,1925,47.5747,-122304,317625
67,4,2.5,2720,11049,10,1989,47.5815,-122192,975000
68,4,2.5,2240,4648,7,2005,47.3378,-122257,287000
69,3,1,1000,12070,7,1968,47.3621,-122.11,204000
70,5,2.25,3200,20158,8,1965,47.6303,-122215,1325000000
71,5,3.25,4770,50094,11,1973,47.6525,-122.16,1.04e+006
72,3,2,1260,5612,7,1972,47.7362,-122179,325000
73,4,2,2750,7807,7,1916,47.7168,-122287,571000
74,4,2.5,2380,5000,8,2005,47.3608,-122036,360000
75,3,1.75,1790,50529,7,1965,47.3511,-122073,349000
76,4,4,3430,35102,10,1986,47.5822,-121987,832500
77,4,1.75,1760,7300,7,1956,47.6034,-122125,380000
78,3,1,1040,5060,7,1941,47.5636,-122394,480000
79,3,1,1410,5060,7,1956,47.7073,-122.34,410000
80,4,2.5,3450,39683,10,2002,47342,-122025,720000
81,3,2.5,2350,5100,8,2003,47.3512,-122008,390000
82,4,2.5,1900,5889,7,1992,47349,-122031,360000
83,2,1,2020,6720,7,1948,47.5474,-122291,355000
84,3,1.5,1680,8712,8,1964,47.4811,-122149,356000
85,3,1,960,6634,6,1952,47.7264,-122.31,315000
86,3,1.5,2140,3600,9,1925,47.6337,-122365,940000
87,5,2.25,2660,8400,7,1961,47.2909,-122189,305000
88,3,3.25,2770,6278,9,2006,47.5228,-122199,461000
89,2,2.25,1610,2040,7,1979,47518,-122194,215000
90,2,1.75,1030,1066,7,2006,47.5394,-122387,335000
91,4,2.5,1980,7403,7,1988,47.2897,-122372,243500
92,5,2.75,3520,6353,10,2001,47.6506,-122391,1.09988e+006
93,3,1,1200,10500,7,1962,47322,-122351,153000
94,3,1.5,1580,5000,8,1939,47687,-122386,430000
95,3,1.5,1580,5000,8,1939,47687,-122386,700000
96,4,2.5,3300,10250,7,1946,47.5873,-122249,905000
97,3,1.75,1960,15681,7,1967,47.3576,-122277,247500
98,4,1.5,1160,6400,7,1975,47.3036,-122378,199000
99,3,1.75,1810,41800,7,1980,47.4109,-121958,314000
100,3,2.5,2320,36847,9,1992,47.4838,-121714,437500
